date,open,high,low,close,adjusted_close,volume,ticker
2024-04-26,250.86,252.5399,250.435,251.78,247.6948,3238126,VTI.US
2024-04-29,252.75,253.12,251.35,252.77,248.6687,2086019,VTI.US
2024-04-30,251.94,252.33,248.56,248.61,244.5762,2502735,VTI.US
2024-05-01,248.46,251.975,247.595,247.99,243.9663,3509546,VTI.US
2024-05-02,250.13,250.92,247.61,250.56,246.4946,2580191,VTI.US
2024-05-03,253.6,254.4,252.2,253.53,249.4164,2350197,VTI.US
2024-05-06,254.8,256.25,254.62,256.25,252.0922,2811467,VTI.US
2024-05-07,256.59,257.17,256.14,256.48,252.3185,1829855,VTI.US
2024-05-08,255.48,256.545,255.33,256.3,252.1414,2600126,VTI.US
2024-05-09,256.3,257.88,256.0,257.81,253.6269,2418707,VTI.US
2024-05-10,258.67,259.03,257.45,258.05,253.863,1922464,VTI.US
2024-05-13,259.08,259.08,257.56,258.19,254.0008,1948407,VTI.US
2024-05-14,258.23,259.67,258.083,259.45,255.2403,2466842,VTI.US
2024-05-15,260.85,262.73,260.4428,262.64,258.3786,2508701,VTI.US
2024-05-16,262.68,263.28,261.86,261.93,257.6801,2444983,VTI.US
2024-05-17,262.15,262.3,261.24,262.3,258.0441,2208726,VTI.US
2024-05-20,262.43,263.355,262.21,262.57,258.3097,2366057,VTI.US
2024-05-21,262.2,263.16,262.13,263.11,258.8409,2241920,VTI.US
2024-05-22,262.86,263.065,261.1345,262.22,257.9654,2356623,VTI.US
2024-05-23,263.86,263.92,259.43,259.99,255.7716,6603017,VTI.US
2024-05-24,261.04,262.21,260.4468,261.87,257.6211,3123692,VTI.US
2024-05-28,262.47,262.47,260.49,261.87,257.6211,3078124,VTI.US
2024-05-29,259.62,260.369,259.43,259.72,255.5059,3178970,VTI.US
2024-05-30,259.28,259.62,257.75,258.45,254.2565,3031239,VTI.US
2024-05-31,259.0,260.6,256.25,260.44,256.2143,3407439,VTI.US
2024-06-03,261.66,261.66,258.0772,260.52,256.293,6203385,VTI.US
2024-06-04,259.84,260.89,258.95,260.49,256.2634,2489841,VTI.US
2024-06-05,261.8,263.68,260.7,263.68,259.4017,2384042,VTI.US
2024-06-06,263.65,263.9614,262.6,263.45,259.1754,2190196,VTI.US
2024-06-07,262.89,264.3,262.2458,262.95,258.6835,1838937,VTI.US
2024-06-10,262.33,264.0,262.2,263.83,259.5493,2142670,VTI.US
2024-06-11,263.0,264.35,261.88,264.28,259.992,3017331,VTI.US
2024-06-12,267.09,268.215,266.21,266.77,262.4416,2762566,VTI.US
2024-06-13,267.47,267.8,265.5,266.89,262.5596,2285244,VTI.US
